element_code,element_name
B000000192,豚足
B000000503,【安楽】ｺｶ･ｺｰﾗ
B000000508,【共通】ｶﾙﾋﾟｽ
B000000513,【共通】ﾒﾛﾝｿｰﾀﾞ
B000000518,【共通】ｱｲｽｺｰﾋｰ
B000000549,ﾄﾞﾘﾝｸﾊﾞｰ部品
B000000599,ﾁｬﾝｼﾞｬ
B000001458,【共通】ｱｲｽｳｰﾛﾝ茶
B000001465,和風きなこﾊﾞﾆﾗ
B000001498,ｹｰｷﾊﾞｰ
B000001594,宴)ﾀｺ焼(1人前)
B000001637,帆立ﾊﾞﾀｰ焼
B000001739,枝豆(150g
B000001844,宴)ﾆﾝﾆｸ爆弾揚げ
B000002031,s豚ﾎﾙﾓﾝ(100g
B000002049,(本舗)ﾐﾆﾋﾞﾋﾞﾝﾊﾞ
B000002080,ﾕｯｹBB(ﾗｲｽ除)
B000002123,(本舗)ﾋﾞﾋﾞﾝﾊﾞ(ﾗｲｽ除)
B000002129,宴)ﾅﾑﾙ【本舗】
B000002186,宴)ﾂｹﾓﾘ
B000002187,韓国風冷奴
B000002204,(本舗)ﾐﾆ石焼BB
B000002205,石焼有馬煮BB(ﾗｲｽ除く
B000002206,石焼ﾕｯｹBB(ﾗｲｽ除)
B000002207,(本舗)石焼ﾋﾞﾋﾞﾝﾊﾞ(ﾗｲｽ除く
B000002309,★(なし)
B000002397,ﾁﾁﾞﾐ
B000002398,揚げﾀｺﾎﾞｰﾙ
B000002402,しいたけ焼
B000002404,玉ﾈｷﾞ焼
B000002409,ﾆﾝﾆｸ焼
B000002410,ｷｬﾍﾞﾂ焼
B000002411,とうもろこし焼
B000002427,海鮮ｻﾗﾀﾞ
B000002432,ｱｲｽ石焼ﾌﾞﾘｭﾚ
B000002437,ｲｲﾀﾞｺくるりん焼　柚子味噌
B000002438,生たらば蟹焼
B000002440,国産牛たたき
B000002441,牛たたきのカルパッチョ
B000002442,ﾀｺﾜｻﾋﾞ
B000002443,ｲｶｼﾞｬﾝ辛
B000002547,石焼ｽﾀﾐﾅ丼
B000002548,ﾐﾆ)石焼ｽﾀﾐﾅ丼
B000002593,ﾈｷﾞ塩･旨塩用ﾀﾚ(100g)
B000002597,ﾎﾙﾓﾝﾀﾞﾚ(100g)ﾓﾐﾈｷﾞ無
B000002635,特盛りｽﾀﾐﾅ丼(ﾗｲｽ除く
B000002636,ｽﾀﾐﾅ丼(ﾗｲｽ除く
B000002638,L)冷奴
B000002642,ﾊﾟﾑﾁﾑ
B000002643,ﾆﾝﾆｸ爆弾揚げ
B000002648,石焼HOTｶﾚｰ
B000002653,生ﾋﾞｰﾙ(中)500ml
B000002654,生ﾋﾞｰﾙ(都心)435ml
B000002655,生ﾋﾞｰﾙ(ｸﾞﾗｽ)330ml
B000002656,生ﾋﾞｰﾙ(小)400ml
B000002657,生ﾋﾞｰﾙ(大)700ml
B000002672,【安楽】ｱｲｽﾃｨｰ
B000002680,◎S缶（130ｇ
B000002686,壷抜き真ｲｶ焼
B000002688,S缶(100ｇ
B000002689,塩ﾀﾞﾚ(100g
B000002690,牛ﾀﾝ用S缶(100g
B000002698,ﾆﾝﾆｸ塩(150g
B000002781,ﾐﾆｻﾗﾀﾞ
B000007722,★笹の葉１／5
B000009716,★おもちゃ
B000009951,ﾊﾞﾆﾗｱｲｽ(50mｌ
B000012794,【共通】GFｼﾞｭｰｽ
B000012805,岩海苔(12枚
B000012809,父ちゃんｾｯﾄ
B000012810,ﾁｬﾝｼﾞｬ茶漬け
B000012811,有馬煮茶漬け
B000012812,ﾀｺﾜｻﾋﾞ茶漬け
B000012831,明太子の冷奴
B000012836,ｷﾑﾁﾁﾁﾞﾐ
B000012847,【七輪房】ｵﾚﾝｼﾞｼﾞｭｰｽ
B000012860,お子様ｾﾞﾘｰ
B000012862,ｴﾋﾞﾋﾟﾗﾌ
B000012863,ｽﾊﾟｹﾞﾃｨｰ
B000012865,ﾍﾞﾋﾞｰﾌｰﾄﾞ)北海道ｺｰﾝ
B000012866,ﾍﾞﾋﾞｰﾌｰﾄﾞ)みぞれ煮
B000012867,石焼じゃこめし(ﾗｲｽ除く)
B000012892,【安楽】ｱｲｽﾐﾙｸﾃｨｰ
B000012893,【安楽】ﾎｯﾄｺｰﾋｰ
B000012896,石焼ｶﾞｰﾘｯｸﾗｲｽ(ﾗｲｽ除く
B000012898,ﾄﾛﾋﾟｶﾙﾊﾟﾌｪ
B000012900,杏子ｾﾞﾘｰ
B000012901,嶺岡豆腐ﾌﾟﾘﾝ
B000012902,ﾁｮｺﾊﾟﾌｪ
B000012903,ﾏﾝｺﾞｰﾊﾟﾌｪ
B000012907,ｺﾑﾀﾝﾗｰﾒﾝ
B000012917,ﾌﾗｲﾄﾞﾎﾟﾃﾄ(1人前
B000012918,宴)ﾎﾟﾃﾄﾌﾗｲ
B000012920,お子様付合せ2007
B000012923,ｼｰｻﾞｰｻﾗﾀﾞ
B000012925,宴)ｼｰｻﾞｰｻﾗﾀﾞ
B000012926,ﾐﾆ)ｼｰｻﾞｰｻﾗﾀﾞ
B000012934,辛みそ石焼(ﾗｲｽ除く
B000012937,ｺﾑﾀﾝｽｰﾌﾟ
