menu_code,menu_name
M000049509, 満腹L)おかわりﾗｲｽ
M000049510, 満腹L)おかわり大ﾗｲｽ
M000049511, 満腹L)おかわり半ﾗｲｽ
M000049662, ﾗｲｽ
M000049663, 大盛ﾗｲｽ
M000049664, 半ﾗｲｽ
M000049779, 滲鶏湯
M000049836, (共通)ｸﾘｰﾑｿｰﾀﾞ
M000049838, (共通)ｱｲｽｺｰﾋｰ
M000049841, (共通)ｶﾙﾋﾟｽ
M000049842, (安楽)ｺｶ･ｺｰﾗ
M000049844, (共通)ﾒﾛﾝｿｰﾀﾞ
M000049848, (共通)ｱｲｽｳｰﾛﾝ茶
M000049873, ﾄﾞﾘﾝｸﾊﾞｰ
M000049877, 小人)ﾄﾞﾘﾝｸﾊﾞｰ
M000050326, (安楽)ｱｲｽﾃｨｰ
M000050366, 壷抜真ｲｶ焼
M000050377, 国産牛ﾂﾗﾐ塩焼
M000050456, 生搾りﾚﾓﾝｻﾜｰ
M000050460, 生搾りｸﾞﾚｰﾌﾟﾌﾙｰﾂｻﾜｰ
M000050475, 酒■ﾁｭｰﾊｲ
M000050482, ｳｰﾛﾝﾊｲ
M000050486, 緑茶ﾊｲ
M000050494, 酒■ｼｰｸﾜｰｻｰｻﾜｰ
M000050508, 巨峰ｶﾙﾋﾟｽｻﾜｰ
M000050533, 酒■ｸﾞﾗｽﾜｲﾝ(赤)
M000050536, 酒■ｸﾞﾗｽﾜｲﾝ(白)
M000050539, 酒■ｶﾗﾌｪ)ﾜｲﾝ(赤)
M000050542, 酒■ｶﾗﾌｪ)ﾜｲﾝ(白)
M000050545, aｻﾝﾀﾍﾚﾅ(赤)
M000050546, aｻﾝﾀﾍﾚﾅ(白)
M000050547, 酒■上撰松竹梅
M000050553, 酒■ﾏｯｺﾘ草家
M000050554, 酒■眞露<ﾊｰﾌﾎﾞﾄﾙ>
M000050556, 酒■眞露ﾁｬﾐｽﾙ
M000050558, BIDAN
M000050560, ﾁｭｰﾊｲ梅(1ヶ)
M000050561, 生ﾚﾓﾝ(1/2)
M000050562, 生ｸﾞﾚｰﾌﾟﾌﾙｰﾂ(1/2)
M000050563, 割材)ｳｰﾛﾝ茶/540cc
M000050564, 割材)緑茶/540cc
M000050565, 酒■麦)一番札ｸﾞﾗｽ
M000050567, 麦･ﾎﾞﾄﾙ)一番札500ml
M000050569, aｸﾞﾗｽ)骨董屋
M000050570, aﾎﾞﾄﾙ)骨董屋
M000050571, ｸﾞﾗｽ)さつま司
M000050573, 芋･ﾎﾞﾄﾙ)さつま司
M000050575, 酒■芋)黒甕 ｸﾞﾗｽ
M000050576, 酒■芋･ﾎﾞﾄﾙ)黒甕
M000050577, 酒■紫蘇)鍛高譚ｸﾞﾗｽ
M000050578, 酒■紫蘇･ﾎﾞﾄﾙ)鍛高譚
M000050580, (七輪房)ﾎｯﾋﾟｰ(瓶)
M000050581, aﾎｯﾋﾟｰ(差し替え)
M000050643, 物販ｷﾑﾁ
M000050644, 物販ﾁｬﾝｼﾞｬ
M000050645, 物販ｷｬﾝﾃﾞｨｰ
M000050646, 物販ﾁｮﾚｷﾞ
M000050649, 物販ｻﾝﾁｭ味噌
M000050652, 物販焼肉つけだれ
M000050653, 物販焼肉塩ﾀﾞﾚ
M000050731, aﾎｯﾋﾟｰ
M000050754, 酒■梅酒ﾛｯｸ
M000050789, 物販韓国のり
M000050790, 国産牛ﾊﾂ
M000050927, (共通)ｵﾚﾝｼﾞｼﾞｭｰｽ
M000051058, ★子)ｷｯｽﾞｾｯﾄ
M000051154, 酒■眞露ﾌﾙﾎﾞﾄﾙ
M000051155, ﾁｬﾐｽﾙﾌﾙﾎﾞﾄﾙ
M000051158, (安楽)ｱｲｽﾐﾙｸﾃｨｰ
M000051162, (安楽)ﾎｯﾄｺｰﾋｰ
M000051248, ｼｰｻﾞｰｻﾗﾀﾞ
M000051323, ｺﾑﾀﾝｸｯﾊﾟ
M000051818, L)ﾊﾞﾆﾗｱｲｽ
M000052002, 松阪牛特選霜降りカルビ
M000052003, 松阪牛上カルビ
M000052004, 松阪牛カルビ
M000052344, ﾜｶﾒｽｰﾌﾟ
M000052365, L)おかわりｽｰﾌﾟ
M000052439, L)まんぷくﾗﾝﾁ
M000052474, L)ｻﾝﾁｭ
M000052475, L)ﾎﾟﾃﾄ
M000052476, L)焼野菜
M000052477, L)冷奴
M000052538, 半)ﾗｲｽｾｯﾄ
M000052539, ﾗｲｽｾｯﾄ
M000052540, 大)ﾗｲｽｾｯﾄ
M000052587, 中落ちｶﾙﾋﾞ100L
M000052611, ﾁｮﾚｷﾞｻﾗﾀﾞ
M000052614, 松阪牛ﾕｯｹ
M000052622, ｻﾝﾁｭ
M000052678, L)ｸﾞﾘｰﾝｻﾗﾀﾞ
M000052718, 上ｶﾙﾋﾞ
M000052719, (A2)和牛特選ｶﾙﾋﾞ
M000052748, 飲み放題(男
M000052749, 飲み放題(女
M000052754, ﾄﾞﾘﾝｸOV
M000052761, 茨城ﾄﾞﾘﾝｸﾊﾞｰ
M000052844, 海老の岩塩焼
M000052913, 小人)ﾄﾞﾘﾝｸOV
